Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_32_453.jpg;0;0;1;0;99.66999;85.58897;0.000235958;56.82556;-1.475891E-07
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_32_514.jpg;0;0;0;0;99.66999;85.58897;0.0002360037;56.82556;-3.010146E-07
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_32_580.jpg;0;0;0;0;99.66999;85.58897;0.000235958;56.82556;-1.475891E-07
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_32_647.jpg;0;0;0;0;99.66999;85.58897;0.0002359885;56.82556;-2.498685E-07
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_32_713.jpg;0;0;0;0;99.66999;85.58897;0.0002359428;56.82556;-9.644948E-08
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_32_780.jpg;0;0;0;0;99.66999;85.58897;0.0002359885;56.82556;-2.498685E-07
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_32_847.jpg;0;0;0;0;99.66999;85.58897;0.000236019;56.82556;-3.521543E-07
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_32_914.jpg;0;0;0;0;99.66999;85.58897;0.0002359733;56.82556;-1.987288E-07
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_32_980.jpg;0;0;0;0;99.66999;85.58897;0.000236019;56.82556;-3.521543E-07
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_33_048.jpg;0;0;0;0;99.66999;85.58897;0.000235958;56.82556;-1.475891E-07
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_33_114.jpg;0;0;0;0;99.66999;85.58897;0.0002360037;56.82556;-3.010146E-07
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_33_180.jpg;0;0;0;0;99.66999;85.58897;0.000235958;56.82556;-1.475891E-07
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_33_247.jpg;0;0;0;0;99.66999;85.58897;0.0002359885;56.82556;-2.498685E-07
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_33_314.jpg;0;0;0;0;99.66999;85.58897;0.0002359885;56.82556;-2.498685E-07
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_33_380.jpg;0;0;0;0;99.66999;85.58897;0.0002357839;56.82556;-3.107983E-07
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_33_447.jpg;0;0;0;0;99.66999;85.58897;0.0002358601;56.82556;-5.665031E-07
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_33_514.jpg;0;0;0;0;99.66999;85.58897;0.0002358296;56.82556;-4.642238E-07
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_33_580.jpg;0;0;0;0;99.66999;85.58897;0.0002358296;56.82556;-4.642238E-07
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_33_648.jpg;0;0.09975904;0;0;99.67003;85.58904;0.001851277;56.82563;-4.951511E-07
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_33_714.jpg;0;0.2997209;0;0;99.67083;85.59026;0.03444696;56.81947;-3.771946E-06
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_33_780.jpg;0;0.500385;0;0.03219712;99.67254;85.59288;0.09989487;56.80273;0.0001057747
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_33_847.jpg;0;0.6998581;0;0.07957926;99.6769;85.59953;0.2567869;56.89872;-0.0003996501
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_33_914.jpg;0;0.9000571;0;0.08669131;99.68243;85.60802;0.4453154;56.84644;-0.0003194277
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_33_980.jpg;0;1;0;0.1512835;99.68931;85.61852;0.644496;56.83181;-0.0005351764
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_34_048.jpg;0;1;0;0.2051367;99.70133;85.6368;0.949838;56.79051;-0.001309228
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_34_114.jpg;0;1;0;0.2630526;99.71312;85.65478;1.219707;56.98044;-0.003189461
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_34_180.jpg;0;1;0;0.3332881;99.72514;85.67285;1.340812;57.08474;-0.003114592
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_34_247.jpg;0;1;0;0.3828516;99.74069;85.69645;1.158958;57.12395;8.435408E-05
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_34_314.jpg;0;1;0;0.4478609;99.75512;85.71851;1.0908;57.09354;-0.0007441185
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_34_380.jpg;0;1;0;0.50022;99.77169;85.744;1.088107;57.18394;-0.0003515246
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_34_447.jpg;0;1;0;0.5449125;99.79621;85.78174;1.134849;57.17113;0.0004399131
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_34_514.jpg;0;1;0;0.6102663;99.81727;85.81408;1.221555;57.13821;-0.0008461219
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_34_580.jpg;0;1;0;0.6506475;99.83877;85.84712;1.232867;57.09195;-0.001437234
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_34_647.jpg;0;1;0;0.7116112;99.86963;85.89474;1.197811;57.14827;-0.0002573089
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_34_714.jpg;0;1;0;0.7584468;99.89507;85.9337;1.19339;57.06335;-0.0007775562
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_34_780.jpg;0;1;0;0.8348808;99.92248;85.97565;1.207441;57.06963;-0.001436366
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_34_847.jpg;0;1;0;0.8817268;99.96153;86.0354;1.221224;57.06134;-0.001214262
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_34_914.jpg;-1.500661;1;0;0.9311697;99.99288;86.08285;1.221471;56.99435;-0.0002788471
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_34_980.jpg;-4.49631;1;0;0.9951326;100.0265;86.132;1.21105;56.7937;0.0002744161
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_35_047.jpg;-7.501997;1;0;1.03872;100.0754;86.19971;1.211221;56.09567;0.002052076
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_35_114.jpg;-10.50241;1;0;1.079551;100.1156;86.25189;1.209916;55.35444;-0.001591042
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_35_180.jpg;-13.50707;1;0;1.142261;100.1591;86.30498;1.212659;54.41491;359.9809
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_35_247.jpg;-15;1;0;1.189654;100.2223;86.37662;1.204644;52.80403;359.9484
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_35_314.jpg;-15;1;0;1.232155;100.273;86.43126;1.180214;51.53002;359.9414
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_35_380.jpg;-13.50294;1;0;1.291579;100.3269;86.48703;1.166138;50.28154;359.9311
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_35_448.jpg;-10.50004;1;0;1.34485;100.4023;86.56459;1.171525;48.87301;359.9516
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_35_514.jpg;-7.499669;1;0;1.390295;100.4615;86.62556;1.205614;48.05959;359.9877
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_35_580.jpg;-4.49997;1;0;1.452265;100.5231;86.68851;1.255524;47.44482;0.003398168
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_35_647.jpg;-1.5;1;0;1.499606;100.6074;86.77561;1.284825;47.01634;0.0007247691
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_35_714.jpg;0;1;0;1.547174;100.6718;86.84361;1.274363;46.94754;-0.0007321853
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_35_780.jpg;0;1;0;1.610671;100.7379;86.91378;1.259778;46.92878;-0.0005881788
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_35_848.jpg;0;1;0;1.656187;100.8293;87.01077;1.267439;46.91214;-0.001027688
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_35_914.jpg;0;1;0;1.701504;100.9001;87.08582;1.271637;46.90009;-0.001024487
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_35_981.jpg;0;1;0;1.763372;100.9728;87.16284;1.274683;46.89077;-0.001054058
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_36_047.jpg;0;1;0;1.808396;101.0726;87.26865;1.280095;46.87457;-0.00106268
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_36_114.jpg;0;1;0;1.85385;101.1497;87.35031;1.285108;46.86351;-0.001075145
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_36_180.jpg;0;1;0;1.914983;101.2287;87.43394;1.290522;46.85247;-0.001104183
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_36_247.jpg;0;1;0;1.960119;101.3369;87.54844;1.29495;46.839;-0.001127029
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_36_314.jpg;0;1;0;2.005107;101.4203;87.63658;1.297588;46.82784;-0.001146432
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_36_380.jpg;0;1;0;2.064753;101.5055;87.72668;1.302394;46.81521;-0.001164528
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_36_447.jpg;0;1;0;2.109386;101.622;87.84978;1.30646;46.80035;-0.001187347
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_36_514.jpg;0;1;0;2.153593;101.7115;87.94434;1.309969;46.78983;-0.001192286
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_36_580.jpg;-3.003661;1;0;2.211985;101.8034;88.04017;1.308456;46.62301;-0.0003382893
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_36_647.jpg;-5.998817;1;0;2.256517;101.9311;88.16851;1.304973;45.88718;0.001702012
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_36_714.jpg;-2.998533;1;0;2.298522;102.0299;88.26614;1.307648;45.32436;0.001437916
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_36_780.jpg;0;1;0;2.356327;102.1305;88.36584;1.316877;45.04445;0.0001567622
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_36_847.jpg;0;1;0;2.399623;102.2674;88.50178;1.328957;44.95898;-0.001216261
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_36_914.jpg;0;1;0;2.443199;102.3722;88.60566;1.328325;44.93943;-0.001292907
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_36_980.jpg;0;1;0;2.501464;102.4789;88.71136;1.33138;44.92598;-0.00131506
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_37_047.jpg;0;1;0;2.544401;102.6242;88.85507;1.33852;44.91036;-0.001338282
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_37_114.jpg;0;1;0;2.587218;102.7354;88.96494;1.344437;44.89907;-0.001363425
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_37_180.jpg;0;1;0;2.644131;102.8483;89.07652;1.34543;44.8891;-0.001376929
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_37_247.jpg;0;1;0;2.686932;103.0017;89.22804;1.343469;44.87259;-0.000912668
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_37_314.jpg;0;1;0;2.728951;103.1189;89.3438;1.349575;44.85765;-0.001380134
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_37_380.jpg;0;1;0;2.785198;103.238;89.4613;1.354518;44.84513;-0.001402448
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_37_447.jpg;-1.496249;1;0;2.82724;103.3998;89.62035;1.35763;44.75581;-0.001071093
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_37_514.jpg;-4.50009;1;0;2.868864;103.5245;89.74016;1.351749;44.35665;0.0006271646
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_37_580.jpg;-7.500824;1;0;2.922861;103.6528;89.85963;1.34383;43.59233;0.0009117075
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_37_647.jpg;-4.501935;1;0;2.96329;103.8288;90.0192;1.333571;42.48779;359.9927
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_37_714.jpg;-1.501605;1;0;3.004611;103.9634;90.14067;1.338711;42.00394;-0.001544204
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_37_780.jpg;0;1;0;3.059029;104.0999;90.26399;1.357985;41.85599;-0.002776611
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_37_847.jpg;0;1;0;3.099991;104.2851;90.43039;1.373142;41.80703;-0.002134353
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_37_914.jpg;0;1;0;3.140925;104.4264;90.55662;1.378078;41.79385;-0.00183876
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_37_980.jpg;0;1;0;3.195337;104.5697;90.6842;1.381213;41.78241;-0.002129183
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_38_047.jpg;0;1;0;3.236442;104.7638;90.85667;1.387744;41.76968;-0.001795586
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_38_114.jpg;0;1;0;3.276251;104.9116;90.98767;1.387119;41.75786;-0.001610849
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_38_180.jpg;-1.494766;1;0;3.329819;105.0615;91.1202;1.395059;41.71753;-0.00103919
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_38_247.jpg;-4.490597;1;0;3.369042;105.2657;91.29701;1.388907;41.20391;0.0002436639
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_38_314.jpg;-4.491088;1;0;3.409268;105.4226;91.42942;1.383334;40.52568;0.0009160992
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_38_380.jpg;-1.489994;1;0;3.461865;105.5821;91.56281;1.388384;39.99678;-0.0007427877
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_38_447.jpg;0;1;0;3.501049;105.7974;91.74319;1.400627;39.77043;-0.002861957
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_38_514.jpg;0;1;0;3.540649;105.9614;91.87986;1.407885;39.72802;-0.003106913
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_38_580.jpg;0;1;0;3.592327;106.1274;92.01775;1.4158;39.71156;-0.002452787
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_38_647.jpg;0;1;0;3.631433;106.3518;92.20353;1.420351;39.70191;-0.002257644
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_38_714.jpg;0;1;0;3.670403;106.5223;92.34443;1.422171;39.69509;-0.001978002
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_38_780.jpg;0;1;0;3.722655;106.6947;92.48669;1.426465;39.68368;-0.002033572
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_38_847.jpg;0;1;0;3.76133;106.9275;92.67842;1.4279;39.66455;-0.001789745
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_38_914.jpg;0;1;0;3.799891;107.1043;92.82384;1.432016;39.64838;-0.001277324
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_38_980.jpg;0;1;0;3.850906;107.283;92.97062;1.436189;39.62804;-0.001650276
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_39_047.jpg;0;1;0;3.889188;107.5241;93.16849;1.439524;39.60309;-0.001276261
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_39_114.jpg;0;1;0;3.926639;107.707;93.31848;1.442736;39.58163;-0.001663572
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_39_180.jpg;0;1;0;3.977115;107.8918;93.46985;1.444968;39.56071;-0.001789011
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_39_247.jpg;-1.499985;1;0;4.015361;108.1411;93.67354;1.449095;39.4683;-0.001406988
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_39_314.jpg;-4.496219;1;0;4.052996;108.3314;93.82645;1.452051;39.09166;-0.0003201078
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_39_380.jpg;-7.49745;1;0;4.101381;108.525;93.97831;1.441056;38.35551;0.001056292
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_39_447.jpg;-10.50804;1;0;4.136483;108.7898;94.17639;1.392168;36.72543;359.9446
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_39_514.jpg;-7.515853;1;0;4.17135;108.9926;94.32154;1.295581;35.376;359.8611
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_39_580.jpg;-4.510303;1;0;4.221827;109.1986;94.46484;1.160839;34.2909;359.7682
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_39_647.jpg;-1.516094;0.900016;0;4.259017;109.4781;94.65464;0.9695845;33.45724;359.6401
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_39_714.jpg;0;0.700102;0;4.290412;109.6902;94.79697;0.8308846;33.24411;359.5572
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_39_780.jpg;0;0.500026;0;4.31672;109.904;94.93919;0.7031093;33.19023;359.4785
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_39_847.jpg;0;0.3000189;0;4.325595;110.19;95.12861;0.5274737;33.18935;359.3991
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_39_914.jpg;0;0.09957099;0;4.326178;110.4043;95.2702;0.3792438;33.20109;359.3607
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_39_980.jpg;0;0;0;4.312174;110.6178;95.41103;0.2083589;33.21206;359.3375
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_40_047.jpg;0;0;0;4.298039;110.9012;95.59758;359.9565;33.22041;359.3246
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_40_114.jpg;0;0;0;4.283812;111.1132;95.73774;359.8082;33.24142;359.3735
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_40_180.jpg;0;0;0;4.263784;111.3248;95.87731;359.6737;33.25848;359.4399
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_40_247.jpg;0;0;0;4.249129;111.6062;96.06272;359.5172;33.27618;359.5545
/Users/wenshuochen/Desktop/Robotic ND/RoboND-Rover-Project/IMG/robocam_2017_09_16_15_47_40_314.jpg;0;0;0;4.234143;111.8167;96.20106;359.4087;33.28204;359.6442
